序号,日期区间,阶段归属,技术学习核心任务,运动减脂核心安排,核心里程碑目标
1,2026.3.16-2026.4.15,筑基期第 1 个月（底层基础适应期）,1. C++ 深度进阶：内存模型、对象生命周期、智能指针底层、STL 性能陷阱2. 计算机体系结构：CPU 缓存架构、伪共享、分支预测、SIMD 基础3. 调试环境搭建：WinDbg/GDB 环境配置、Dump 文件解析、符号服务器搭建,1. 每周 5 练：周一 / 三 / 五 30-40 分钟低强度有氧（椭圆机 / 固定自行车 / 坡度快走，禁止跑跳）2. 周二 / 四 30 分钟自重基础力量训练（靠墙静蹲、跪姿俯卧撑、臀桥、平板支撑）3. 每日热量摄入 1800-2000 大卡，建立健康饮食框架,1. 能独立用 WinDbg 定位 Dump 文件的崩溃代码行2. 复现并修复 5 个 C++ 底层崩溃案例3. 体重降至 97-98kg，养成规律运动习惯，无关节不适
2,2026.4.16-2026.5.15,筑基期第 2 个月（底层基础深化期）,1. C++ 进阶：多线程内存序、并发编程、异常机制、防崩溃编码规范2. 操作系统底层：Windows/Linux 进程线程模型、虚拟内存、SEH/VEH 异常机制3. GPU 基础架构：NVIDIA/AMD SM 单元、Warp 调度、显存模型、CUDA 基础,1. 每周 5 练：有氧时长提升至 40 分钟，心率控制在最大心率 60-70%2. 自重力量训练增加组数与时长，完善动作标准，激活核心肌群3. 保持每日热量缺口 400-600 大卡，保证每日 1.8-2.2g/kg 蛋白质摄入,1. 完成 CSAPP 核心 Lab，吃透 CPU/GPU 底层性能逻辑2. 完成 10 个不同类型崩溃案例的分析与报告3. 体重降至 94-95kg，体脂率下降 3-4 个百分点
3,2026.5.16-2026.6.15,筑基期第 3 个月（图形学基础期）,1. 图形学数学：线性代数、空间变换、四元数、光照数学基础2. 实时渲染管线：应用→几何→光栅化→片段着色器→后处理全流程原理3. 调试工具：RenderDoc/Nsight Graphics 基础使用、帧抓取与管线分析,1. 每周 5 练：有氧时长 40-50 分钟，加入快慢间歇模式，提升燃脂效率2. 力量训练加入轻重量哑铃 / 杠铃，开启大肌群基础训练（深蹲、卧推、划船）3. 保持饮食框架，每周 1 次中午欺骗餐，避免暴食,1. 吃透实时渲染全管线每个阶段的开销与瓶颈逻辑2. 能用 RenderDoc 完成商业游戏帧抓取，定位基础渲染问题3. 体重降至 91-92kg，掌握基础力量训练动作标准
4,2026.6.16-2026.7.15,筑基期第 4 个月（渲染技术深化期）,1. 核心渲染技术：PBR 光照模型、纹理映射、深度 / 模板测试、抗锯齿、阴影技术2. Shader 编程与优化：HLSL/GLSL 基础、Shader 执行开销、基础优化技巧3. GPU 渲染原理：Draw Call 全流程、批处理原理、GPU 驱动工作机制,1. 每周 5 练：有氧时长 50 分钟，心率控制在最大心率 65-75%2. 力量训练升级为 40 分钟分化训练，渐进提升负重，提升基础代谢3. 保持每日蛋白质摄入，戒掉精制碳水与含糖饮料,1. 用 DX11/DX12 手写最小渲染管线，实现基础 PBR 光照2. 每周完成 1 个 Shader 编写与优化，量化 GPU 耗时优化效果3. 体重降至 88-89kg，无运动损伤，运动习惯完全固化
5,2026.7.16-2026.8.15,筑基期第 5 个月（引擎架构入门期）,1. 游戏引擎核心架构：UE5/Godot 源码编译与架构拆解、RHI 层、资源管理系统2. 性能优化工具链：CPU 端 VTune/Unreal Insights、GPU 端 Nsight/PIX、内存工具 UMDH/VMMap3. 多线程渲染模型：引擎多线程架构、渲染线程与游戏线程同步逻辑,1. 每周 5 练：有氧时长 50-60 分钟，体重达标后可尝试跑走结合2. 力量训练升级为 45 分钟上下肢分化训练，渐进超负荷提升负重3. 保持热量缺口，调整碳水摄入时间，匹配运动节奏,1. 单步调试 UE5 渲染管线全流程，输出完整调用栈图谱2. 能用全套工具完成项目 CPU/GPU/ 内存瓶颈的定位3. 体重降至 86-87kg，体脂率降至 20% 左右
6,2026.8.16-2026.9.15,筑基期第 6 个月（筑基收尾整合期）,1. 引擎渲染架构：Render Graph、场景渲染器、内存 / 资源生命周期管理2. 宕机分析全流程：MiniDump 解析、UE Crash Reporter 深度使用、无符号 Dump 分析3. 性能优化方法论：先定位后优化、全维度优化逻辑、量化优化效果,1. 每周 5 练：有氧时长稳定 60 分钟，可加入低强度慢跑2. 力量训练固定为上下肢分化模式，完善完整训练体系3. 饮食调整为高蛋白中碳水，为下一阶段塑形做准备,1. 独立完成 UE 项目基础优化，实现 CPU/GPU 帧耗时双降 15% 以上2. 完成 20 个崩溃 Dump 分析，开发 1 个自动化崩溃解析小工具3. 体重稳定降至 85kg，完成筑基期减脂目标，形成完整运动体系
7,2026.9.16-2026.10.15,深耕期第 1 个月（渲染优化进阶期）,1. 高级渲染技术：全局光照（Lumen/SSGI）、Nanite 虚拟几何体、GPU Driven Pipeline2. Shader 高级优化：Shader 变体管理、ALU / 带宽平衡优化、分支消除技巧3. 显存优化：显存带宽管控、纹理压缩、资源流式加载优化,1. 每周 6 练：2 次上肢 + 核心力量、2 次下肢 + 核心力量、2 次有氧2. 力量训练每次 60 分钟，渐进提升负重，重点提升肌肉量3. 每日摄入 2000-2200 大卡，提升蛋白质摄入，保留肌肉,1. 完成复杂场景显存优化，显存占用降低 30%2. 定位并修复 3 个 GPU Hang 类疑难问题3. 体重降至 83-84kg，体脂率降至 18-19%
8,2026.10.16-2026.11.15,深耕期第 2 个月（前沿渲染落地期）,1. 光追渲染技术：实时光追管线、光追降噪、阴影 / 反射 / 全局光照光追实现2. 超分技术：DLSS/FSR/XeSS 集成与优化、移动端超分方案3. 跨平台渲染优化：主机 / 移动端 / PC 端渲染适配与差异化优化,1. 每周 6 练：保持分化力量训练，有氧加入 1 次 HIIT 提升燃脂效率2. 力量训练加入复合动作，提升全身肌肉协同能力3. 保持饮食框架，匹配训练量调整碳水摄入,1. 完成光追 + 超分技术的项目落地，实现画质与帧率双提升2. 完成中型项目全流程渲染优化，实现主机端 60 帧稳定3. 体重降至 81-82kg，肌肉量明显提升
9,2026.11.16-2026.12.15,深耕期第 3 个月（高级宕机分析期）,1. 多线程疑难问题：死锁 / 活锁定位、线程安全问题、数据竞争高级调试2. 内存疑难问题：内存踩踏、堆损坏、内存泄漏、野指针高级调试技巧3. 驱动 / 内核级崩溃：GPU 驱动崩溃、内核态异常、系统级兼容性问题分析,1. 每周 6 练：力量训练固定为推拉腿分化模式，完善动作体系2. 有氧保持每周 2 次，每次 40-50 分钟中等强度3. 保持每日蛋白质摄入，应对冬季代谢变化，避免热量超标,1. 完成 30 个疑难崩溃案例分析，形成个人崩溃案例库2. 掌握无符号 Dump、内存踩踏等极端场景的分析方法论3. 体重稳定在 80-81kg，体脂率降至 16-17%
10,2026.12.16-2027.1.15,深耕期第 4 个月（引擎稳定性优化期）,1. 引擎内存管理：引擎内存分配器、资源生命周期管理、内存池设计与实现2. 防崩溃架构设计：异常容错机制、崩溃防护、热重载 / 回滚方案设计3. 自动化测试：崩溃自动化复现、性能自动化测试、压测方案设计,1. 每周 6 练：保持力量训练渐进超负荷，有氧可替换为球类 / 骑行等趣味运动2. 加入核心专项训练，提升身体稳定性3. 节日期间严格控制饮食，避免热量超标,1. 完成引擎级稳定性优化方案落地，项目崩溃率降至 0.1% 以下2. 开发自动化崩溃分析与上报系统3. 体重稳定在 79-80kg，完成深耕期核心减脂目标
11,2027.1.16-2027.2.15,深耕期第 5 个月（技术体系整合期）,1. 渲染架构整合：从管线到场景的全流程渲染架构设计、性能与兼容性平衡2. 稳定性体系整合：从编码规范到线上监控的全流程稳定性保障体系3. 前沿技术跟进：Mesh Shader、AI 渲染、下一代渲染架构学习,1. 每周 6 练：力量训练保持强度，有氧每周 2 次，维持体脂率2. 完善训练动作细节，避免长期训练的代偿损伤3. 保持饮食规律，形成稳定的饮食习惯,1. 形成个人专属的渲染优化与宕机分析技术体系2. 输出 3 篇高质量技术博客，完成技术沉淀3. 体重稳定在 78-80kg，体脂率降至 15-16%
12,2027.2.16-2027.3.15,深耕期第 6 个月（深耕收尾实战期）,1. 综合实战：主导项目全流程渲染优化与稳定性保障，解决核心疑难问题2. 开源贡献：为 UE/Godot 等开源引擎提交渲染优化 / 稳定性相关 PR3. 体系复盘：梳理 12 个月技术成长，补全知识短板，规划专家期路线,1. 每周 5 练，保持力量训练核心强度，有氧维持基础心肺能力2. 加入体态调整训练，改善久坐带来的身体问题3. 饮食完全固化，形成不易胖的饮食模式,1. 完成项目全周期优化落地，获得可量化的业务成果2. 完成开源社区 PR 提交，获得行业认可3. 体重稳定在 78-80kg，完成深耕期全部目标
13,2027.3.16-2027.4.15,专家期第 1 个月（架构设计能力建设期）,1. 引擎级渲染架构设计：可扩展渲染框架、Render Graph 深度定制、跨平台 RHI 层设计2. 渲染管线重构：针对项目特性的渲染管线定制化重构、性能与可维护性平衡3. 引擎底层定制：UE/Godot 引擎底层源码深度定制，适配业务需求,1. 每周 5 练：2-3 次力量训练 + 2 次有氧训练，保持肌肉量2. 训练模式灵活调整，适配高强度工作节奏3. 每日摄入 2200-2400 大卡，匹配日常消耗，稳定体重,1. 完成定制化渲染架构设计方案，落地到项目中2. 解决 1 个行业级渲染性能疑难问题3. 体重稳定在 78-82kg，体脂率维持 14-16%
14,2027.4.16-2027.5.15,专家期第 2 个月（疑难问题攻坚期）,1. 极端场景疑难问题攻坚：线上偶现崩溃、GPU 驱动级 Hang、多线程极端竞争问题2. 极限性能优化：主机 / 移动端极限场景下的帧率优化、功耗与性能平衡3. 调试工具链自研：定制化性能分析、崩溃调试工具链开发,1. 每周 4-5 练，保持力量训练核心强度，有氧维持心肺能力2. 加入办公室碎片化训练，改善久坐问题3. 饮食灵活适配，可应对加班、出差等场景，不打破习惯,1. 形成行业级疑难崩溃问题的完整分析与解决方案2. 完成自研调试工具链开发，提升团队工作效率3. 身体状态稳定，运动习惯完全终身化
15,2027.5.16-2027.6.15,专家期第 3 个月（前沿技术落地期）,1. 下一代渲染技术落地：全局光照、虚拟几何体、AI 驱动渲染的引擎级集成2. 跨平台渲染架构：主机 / 移动端 / PC 端统一渲染架构设计与落地3. 渲染性能标准化：建立项目渲染性能规范、性能预算管控体系,1. 每周 4-5 练，保持训练节奏，可尝试新的运动模式，避免枯燥2. 加入功能性训练，提升身体综合能力3. 饮食完全自主可控，可灵活调整，不影响体重体脂,1. 完成下一代渲染技术的引擎级集成与落地，形成技术壁垒2. 建立团队渲染性能与稳定性规范，提升团队整体能力3. 身体状态稳定，无运动损伤，形成终身运动习惯
16,2027.6.16-2027.7.15,专家期第 4 个月（技术体系标准化期）,1. 技术体系标准化：渲染优化、宕机分析的标准化流程、SOP、知识库建设2. 引擎架构标准化：可复用的引擎渲染架构、稳定性架构模块设计3. 技术培训：团队内部技术培训、知识分享体系建设,1. 每周 4-5 练，保持基础训练量，工作繁忙时可压缩为每日 20 分钟训练2. 重点关注关节健康，避免长期训练的慢性损伤3. 饮食保持稳定，形成肌肉记忆,1. 完成个人技术体系的标准化建设，可复制可推广2. 完成团队技术培训体系搭建，提升团队整体技术水平3. 体重体脂完全稳定，身体状态保持良好
17,2027.7.16-2027.8.15,专家期第 5 个月（行业影响力建设期）,1. 技术输出：行业技术大会分享、系列技术专栏、开源项目输出2. 行业级方案：针对游戏行业渲染优化、引擎稳定性的通用解决方案3. 前沿技术预研：下一代 GPU 架构、渲染标准、AI 渲染技术预研,1. 每周 4-5 练，保持训练节奏，可加入户外骑行、爬山等运动，丰富训练模式2. 保持基础力量与心肺能力，维持身体状态3. 饮食完全自主可控，可灵活适配各类社交场景,1. 完成行业级技术分享 / 专栏输出，建立个人技术品牌2. 完成行业通用解决方案输出，获得行业认可3. 身体状态稳定，运动与生活完全融合
18,2027.8.16-2027.9.15,专家期第 6 个月（全周期收尾复盘期）,1. 全周期技术复盘：梳理 18 个月技术成长，补全知识体系短板2. 长期技术规划：下一代引擎技术、渲染技术的长期学习与落地规划3. 技术成果沉淀：整理 18 个月的实战案例、技术方案、开源成果，形成个人技术作品集,1. 每周 4 练，保持基础训练量，形成终身可持续的运动模式2. 全面复盘 18 个月身体变化，调整长期运动计划3. 形成完全适配生活与工作的饮食运动模式，终身可持续,1. 成为游戏引擎渲染优化与宕机分析领域的专家，形成不可替代的核心技术壁垒2. 完成 18 个月全部技术目标，形成完整的个人技术体系3. 体重稳定在 78-82kg，体脂率维持 14-16%，完成全部减脂目标，形成终身健康习惯
